Course Name,CRN,Type,Section,Time,Day,Location,Instructor
ECE 210,36883,Laboratory,AB9,12:00PM,01:50PM,R,4072 Electrical & Computer Eng Bldg,Chavez. J Irvin. R,4
ECE 210,36709,Laboratory,ABA,12:00PM,01:50PM,R,4072 Electrical & Computer Eng Bldg,Chavez. J Irvin. R,4
ECE 210,36717,Laboratory,ABB,02:00PM,03:50PM,R,4072 Electrical & Computer Eng Bldg,Wang. B Wu. Y,4
ECE 210,56612,Laboratory,ABC,02:00PM,03:50PM,R,4072 Electrical & Computer Eng Bldg,Wang. B Wu. Y,4
ECE 210,36696,Lecture,AL1,10:00AM,10:50AM,MTWF,1013 Electrical & Computer Eng Bldg,Shao. Y,4
ECE 210,36702,Lecture,AL2,11:00AM,11:50AM,MTWF,1013 Electrical & Computer Eng Bldg,Alvarez. J,4
ECE 210,36706,Lecture,AL3,12:00PM,12:50PM,MTWF,1013 Electrical & Computer Eng Bldg,He. W,4
ECE 210,57718,Lecture,AL4,02:00PM,02:50PM,MTWF,1013 Electrical & Computer Eng Bldg,Schuh. J,4
ECE 211,31722,Lecture,B,10:00AM,10:50AM,MTWF,1013 Electrical & Computer Eng Bldg,Shao. Y,2
ECE 211,31723,Lecture,C,11:00AM,11:50AM,MTWF,1013 Electrical & Computer Eng Bldg,Alvarez. J,2
ECE 211,31725,Lecture,E,12:00PM,12:50PM,MTWF,1013 Electrical & Computer Eng Bldg,He. W,2
ECE 211,57719,Lecture,F,02:00PM,02:50PM,MTWF,1013 Electrical & Computer Eng Bldg,Schuh. J,2
ECE 220,64602,Discussion/ Recitation,BD2,09:00AM,09:50AM,F,2022 Electrical & Computer Eng Bldg,Yamsani. S,4
ECE 220,64603,Discussion/ Recitation,BD3,10:00AM,10:50AM,F,2022 Electrical & Computer Eng Bldg,Mai. A,4
ECE 220,64604,Discussion/ Recitation,BD4,11:00AM,11:50AM,F,2022 Electrical & Computer Eng Bldg,Shen. E,4
ECE 220,64605,Discussion/ Recitation,BD5,12:00PM,12:50PM,F,2022 Electrical & Computer Eng Bldg,Shen. E,4
ECE 220,64606,Discussion/ Recitation,BD6,01:00PM,01:50PM,F,2022 Electrical & Computer Eng Bldg,Mai. A,4
ECE 220,64607,Discussion/ Recitation,BD7,02:00PM,02:50PM,F,2022 Electrical & Computer Eng Bldg,Zhang. M,4
ECE 220,64608,Discussion/ Recitation,BD8,03:00PM,03:50PM,F,2022 Electrical & Computer Eng Bldg,Zhang. M,4
ECE 220,64610,Discussion/ Recitation,BD9,04:00PM,04:50PM,F,2022 Electrical & Computer Eng Bldg,Franceschini. N,4
ECE 220,64600,Lecture,BL1,12:30PM,01:50PM,TR,1002 Electrical & Computer Eng Bldg,Chen. Y,4
ECE 220,66373,Lecture,BL2,11:00AM,12:20PM,TR,2017 Electrical & Computer Eng Bldg,Abraham. I,4
ECE 220,66374,Lecture,BL3,09:30AM,10:50AM,TR,3081 Electrical & Computer Eng Bldg,Kindratenko. V,4
ECE 298,72439,Lecture,ABS,03:00PM,03:50PM,F,2015 Electrical & Computer Eng Bldg,Banerjee. A,3
ECE 298,76513,Lecture,RR,04:00PM,04:50PM,T,1013 Electrical & Computer Eng Bldg,Liu. S Rakheja. S Ravaioli. U,3
ECE 310,70543,Lecture,CCS,12:00PM,12:50PM,MWF,3017 Electrical & Computer Eng Bldg,Kim. C Snyder. C,3
ECE 310,70430,Lecture,CSP,06:00PM,07:15PM,TR,Location Pending,Do. M,3
ECE 310,58210,Lecture,E,03:00PM,03:50PM,MWF,3017 Electrical & Computer Eng Bldg,Moustakides. G,3
ECE 310,58213,Lecture,G,09:00AM,09:50AM,MWF,3017 Electrical & Computer Eng Bldg,Do. M,3
ECE 311,58591,Laboratory,A,09:00AM,10:50AM,T,2022 Electrical & Computer Eng Bldg,Do. M Okubo. R,1
ECE 311,58592,Laboratory,B,11:00AM,12:50PM,T,2022 Electrical & Computer Eng Bldg,Do. M Okubo. R,1
ECE 311,58593,Laboratory,C,05:00PM,06:50PM,T,2022 Electrical & Computer Eng Bldg,Do. M Kim. C,1
ECE 311,70544,Laboratory,CCS,02:00PM,03:50PM,T,2022 Electrical & Computer Eng Bldg,Do. M Kim. C,1
ECE 313,49975,Discussion/ Recitation,A,02:00PM,03:20PM,TR,3013 Electrical & Computer Eng Bldg,Chen. X,3
ECE 313,64886,Discussion/ Recitation,B,10:00AM,10:50AM,MWF,3017 Electrical & Computer Eng Bldg,Chitambar. E,3
ECE 313,49976,Discussion/ Recitation,C,11:00AM,11:50AM,MWF,3017 Electrical & Computer Eng Bldg,Katselis. D,3
ECE 313,52208,Discussion/ Recitation,D,01:00PM,01:50PM,MWF,3017 Electrical & Computer Eng Bldg,Varshney. L,3
ECE 313,61390,Discussion/ Recitation,E,02:00PM,02:50PM,MWF,Location Pending,Varshney. L,3
ECE 313,70434,Discussion/ Recitation,F,05:00PM,05:50PM,MWF,3017 Electrical & Computer Eng Bldg,Bastopcu. M,3
ECE 314,66503,Laboratory,A,11:00AM,11:50AM,W,2013 Electrical & Computer Eng Bldg,Hajek. B Levick. K,1
ECE 314,66505,Laboratory,B,02:00PM,02:50PM,W,2013 Electrical & Computer Eng Bldg,Hajek. B Levick. K,1
ECE 316,36862,Lecture,E1,11:00AM,12:20PM,TR,329 Gregory Hall,Hillmer. P,3
ECE 316,36869,Lecture,E2,02:00PM,03:20PM,TR,329 Gregory Hall,Hillmer. P,3
ECE 329,31727,Discussion/ Recitation,C,10:00AM,10:50AM,MWF,2013 Electrical & Computer Eng Bldg,Heller. L Ilie. R,3
